Firmware:,,,5095,,CalTop,,15.65,,UpCurr,1100,,DnCur,800,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Format Line:,,,,,1,2,3,4,21,22,7,30,5,23,6,25,28,26,27,8,9,10,11,12,13,14,15,16,17,18,29,19,19,20,31,Calculated Data
,,,Position,,4,9,13,17,68,73,31,98,22,78,25,88,95,93,94,36,39,44,47,50,53,56,59,60,61,62,96,63,97,64,103,
### 0000000228-20190130093355.blg: 2019-01-30 09:33:55  -  2019-01-30 09:35:15 ###,,,# of Char,,5,4,4,5,5,5,5,4,3,5,6,5,1,1,1,3,5,3,3,3,3,3,1,1,1,1,1,1,1,4,3,
BLH0000000228190130093355M509515.6511000800,,Find 'B' character as start of packet,Time (s),Position (in),Data Set Count,Speed Actual,Target Speed,Position Motor Current,PM Current PID Output,MM Current PID Output,Mix Motor Current,MM Tach,Position Motor PWM Duty Cycle % (3 Bytes),Desired counts,Position Motor Encoder Count Starts at 4000,Target Count,PM Direction,Encoder overrun,Encoder underrun,Mix Motor PWM Duty Cycle %,Pump Motor Current,Pump Motor PWM Duty Cycle %,Upper Chamber Temp F,Lower Chamber Temp F ,Scour Heater TempF,Steamer Temp F,Water Shot Solenoid Status,Scour Solenoid Status,Front Door Switch Status,Flip Up Door Status ,Pinch occurred recently,Cup Size Beam ,"ProductDetect
3=small 4=med",Flowcount (ml),% Complete,Avg. Speed over 1 second (in/s)
BLD000153.752.5001.2411500625900.0000000.00000066066066072001100000000000000000030023101112710100012,,0,1.50,2.535,15,3.75,2.5,1.24,0,0,0.00,12,115,30,6259,11127,1,1,0,0,0.00,0,66,66,66,72,0,0,1,1,0,0,0,0,,2.654
BLD000163.752.5001.2411500649500.0000000.00000066066066072001100000000000000000030023701112710100012,,0,1.60,2.799,16,3.75,2.5,1.24,0,0,0.00,12,115,30,6495,11127,1,1,0,0,0.00,0,66,66,66,72,0,0,1,1,0,0,0,0,,2.648
BLD000173.752.5001.2411500673300.0000000.00000066066066072001100000000000000000030024301112710100012,,0,1.70,3.066,17,3.75,2.5,1.24,0,0,0.00,12,115,30,6733,11127,1,1,0,0,0.00,0,66,66,66,72,0,0,1,1,0,0,0,0,,2.641
BLD000183.752.5001.1711500696900.0000000.00000066066066072001100000000000000000030024901112710100012,,0,1.80,3.331,18,3.75,2.5,1.17,0,0,0.00,12,115,30,6969,11127,1,1,0,0,0.00,0,66,66,66,72,0,0,1,1,0,0,0,0,,2.636
BLD000193.752.5001.1711500720600.0000000.00000066066065072001100000000000000000030025501112710100012,,0,1.90,3.597,19,3.75,2.5,1.17,0,0,0.00,12,115,30,7206,11127,1,1,0,0,0.00,0,66,66,65,72,0,0,1,1,0,0,0,0,,2.628
BLD000203.752.5001.1711500744300.0000000.00000066066065072001100000000000000000030026101112710100012,,0,2.00,3.863,20,3.75,2.5,1.17,0,0,0.00,12,115,30,7443,11127,1,1,0,0,0.00,0,66,66,65,72,0,0,1,1,0,0,0,0,,2.621
BLD000213.752.5001.1711500768100.0000000.00000066066065072001100000000000000000030026701112710100012,,0,2.10,4.130,21,3.75,2.5,1.17,0,0,0.00,12,115,30,7681,11127,1,1,0,0,0.00,0,66,66,65,72,0,0,1,1,0,0,0,0,,2.614
BLD000223.752.5001.1711500791800.0000000.00000066066065072001100000000000000000030027301112710100012,,0,2.20,4.396,22,3.75,2.5,1.17,0,0,0.00,12,115,30,7918,11127,1,1,0,0,0.00,0,66,66,65,72,0,0,1,1,0,0,0,0,,2.611
BLD000233.752.5001.1711500815500.0000000.00000066066065072001110000000000000000030027901112710100015,,0,2.30,4.662,23,3.75,2.5,1.17,0,0,0.00,15,115,30,8155,11127,1,1,0,0,0.00,0,66,66,65,72,0,0,1,1,0,1,0,0,,2.610
BLD000243.752.5001.1711500839200.0000000.00000066066065072001110000000000000000030028501112710100015,,0,2.40,4.928,24,3.75,2.5,1.17,0,0,0.00,15,115,30,8392,11127,1,1,0,0,0.00,0,66,66,65,72,0,0,1,1,0,1,0,0,,2.609
BLD000253.752.5001.3811500862400.0000000.00000066066065072001110000000000000000030029101112710100015,,0,2.50,5.188,25,3.75,2.5,1.38,0,0,0.00,15,115,30,8624,11127,1,1,0,0,0.00,0,66,66,65,72,0,0,1,1,0,1,0,0,,2.613
BLD000263.752.5001.4711500885500.0000000.00000066066065072001010000000000000000030029701112710100015,,0,2.60,5.447,26,3.75,2.5,1.47,0,0,0.00,15,115,30,8855,11127,1,1,0,0,0.00,0,66,66,65,72,0,0,1,0,0,1,0,0,,2.620
