Time (s),Position (in),Position Motor Current,PM Current PID Output,MM Current PID Output,Mix Motor Current,Desired counts
71.9,11.506,0,0,0,0,2
72,11.506,0,0,0,0,2
72.1,11.506,0,0,0,0,2
72.2,11.506,0,0,0,0,2
72.3,11.506,0,0,0,0,2
72.4,11.506,0,0,0,0,2
72.5,11.506,0,0,0,0,2
72.6,11.506,0,0,0,0,2
72.7,11.502,0.18,0,0,0,9
72.8,11.472,0.44,0,0,0,9
72.9,11.432,0.48,0,0,0,9
73,11.385,0.53,0,0,0,9
73.1,11.333,0.53,0,0,0,9
73.2,11.277,0.48,0,0,0,9
73.3,11.221,0.53,0,0,0,9
73.4,11.172,0.53,0,0,0,9
73.5,11.123,0.53,0,0,0,9
73.6,11.077,0.57,0,0,0.4,9
73.7,11.026,0.64,0,0,0,9
73.8,10.96,0.74,0,0,0,9
73.9,10.88,0.74,0,0,0,9
74,10.801,0.69,0,0,0.4,9
74.1,10.73,0.57,0,0,0.1,9
74.2,10.663,0.53,0,0,0,9
74.3,10.604,0.48,0,0,0,9
74.4,10.548,0.48,0,0,0,9
74.5,10.494,0.48,0,0,0.2,9
74.6,10.44,0.53,0,0,0.1,9
74.7,10.384,0.53,0,0,0.1,30
74.8,10.311,0.87,0,0,0.1,30
74.9,10.169,1.33,0,0,0,30
75,9.972,1.38,0,0,0,30
75.1,9.756,1.29,0,0,0,30
75.2,9.529,1.17,0,0,0,30
75.3,9.297,1.08,0,0,0,30
75.4,9.06,1.03,0,0,0,30
75.5,8.822,0.99,0,0,0,30
75.6,8.579,0.99,0,0,0,30
75.7,8.335,0.99,0,0,0,30
75.8,8.091,0.99,0,0,0,30
75.9,7.842,0.99,0,0,0,30
76,7.591,0.94,0,0,0,30
76.1,7.339,0.94,0,0,0,30
76.2,7.085,0.94,0,0,0,30
76.3,6.831,0.94,0,0,0,30
76.4,6.574,0.94,0,0,0,30
76.5,6.312,0.83,0,0,0,30
76.6,6.048,0.78,0,0,0,30
76.7,5.783,0.74,0,0,0,30
76.8,5.517,0.69,0,0,0,30
76.9,5.252,0.64,0,0,0,30
77,4.987,0.64,0,0,0,30
77.1,4.722,0.69,0,0,0,30
77.2,4.459,0.69,0,0,0,30
77.3,4.195,0.69,0,0,0,30
77.4,3.929,0.69,0,0,0,8
77.5,3.667,0.74,0,0,0,8
77.6,3.403,0.69,0,0,0,8
77.7,3.145,0.69,0,0,0,8
77.8,2.891,0.69,0,0,0,8
77.9,2.649,0.53,0,0,0,8
78,2.445,0.34,0,0,0,8
78.1,2.277,0.18,0,0,0,8
78.2,2.144,0.09,0,0,0,8
78.3,2.043,0.05,0,0,0,8
78.4,1.974,0.05,0,0,0,8
78.5,1.933,0.05,0,0,0,8
78.6,1.92,0,73000,0,0.1,0
78.8,1.765,0.87,75000,0,0.1,0
78.9,1.646,0.74,76000,0,0.1,0
79,1.529,0.69,77000,0,0.1,0
79.1,1.411,0.64,78000,0,0.1,0
79.2,1.291,0.64,80000,0,0.1,0
79.3,1.17,0.57,81000,0,0.1,0
79.4,1.051,0.57,82000,0,0.1,0
79.5,0.932,0.57,83000,0,0.1,0
79.6,0.815,0.53,84000,0,0.1,0
79.7,0.697,0.53,84000,0,0.1,0
79.8,0.582,0.53,85000,0,0.1,0
79.9,0.469,0.53,86000,0,0.1,0
80,0.355,0.53,87000,0,0.1,0
80.1,0.241,0.53,88000,0,0.1,0
80.2,0.129,0.53,89000,0,0.1,0
